Date,AvgSentiment,Polarity,ActivityDensity,WordDensity,Theme_Cartel,Theme_Russia,Theme_Crisis,Theme_Energy,Theme_Military,Theme_Politics,Theme_Leader,Theme_President,NegativeTone
2025-12-15,-0.66313285696892488,3.7201392239674158,6.7771455909659108,20.677362546176916,1,0,2836,0,848,2367,2896,1909,3.0570063669984933
2025-12-16,-0.71427162456455917,3.8132077082104971,6.912143791856435,20.708326638643747,10,0,4369,0,1655,4327,4821,3614,3.0989360836459383
2025-12-17,-0.70153055302315348,3.7652941921330072,6.82905783124286,20.72611165303146,5,0,3241,0,1049,2934,3543,2363,3.0637636391098533
2025-12-18,-0.74910549002290416,3.7658036781940072,6.7825018663651093,20.639260674159495,4,0,3260,0,1076,3223,3855,2631,3.0166981881711021
2025-12-19,-0.74217583043776958,3.721600749653867,6.7010256688699625,20.766665782675737,13,0,2822,0,984,2803,3266,2240,2.9794249192160955
2025-12-20,-0.65416947932536518,3.6925217188811672,6.7308739584369679,20.817199483457578,9,0,2130,0,694,1496,1856,1161,3.0383522395558016
2025-12-21,-0.44916919971732977,3.5148109084815804,6.5804526172458289,20.902993243584785,0,0,1790,0,492,1219,1446,879,3.06564170876425
2025-12-22,-0.19741569494979133,3.4292973524375934,6.6611790099253945,20.932176130443821,2,0,2499,0,736,2098,2534,1674,3.2318816574878029
2025-12-23,-0.80197878158224667,3.6927699497659185,6.5835611179495874,21.0168579307751,2,0,3491,0,1583,2158,2640,1660,2.89079116818367
2025-12-24,-0.75605325700296511,3.8093932725753303,6.8627332881476946,20.740707747690063,3,0,2814,0,923,1738,2327,1267,3.0533400155723647
2025-12-25,-0.65260287681702778,3.7524073894830461,6.8522119021490679,20.835283611102057,0,0,1624,0,479,880,1129,682,3.0998045126660192
2025-12-26,-1.1686165084447588,4.04221079115433,6.9158050738638934,20.563207815166823,3,0,2373,0,708,1272,1706,928,2.873594282709568
2025-12-27,-0.78318967491424407,3.7534404403979882,6.7236912058817326,20.838941238739626,3,0,2040,0,539,1220,1543,894,2.9702507654837458
2025-12-28,-0.4601573270246892,3.7109026891943029,6.9616480513639161,20.65997320302176,4,0,1763,0,581,1123,1408,838,3.2507453621696132
2025-12-29,-1.3622259887704438,4.1130437752203139,6.863861561670185,20.983893434959178,7,0,3898,0,1501,2562,3119,2159,2.7508177864498733
2025-12-30,-1.0645865840121389,3.9495728707190993,6.834559157426062,20.818196664306619,2,0,3318,0,914,1978,2375,1553,2.8849862867069627
2025-12-31,-0.7708254623070504,3.675917166523841,6.5810088707406278,20.492403321019541,1,0,2779,0,834,1666,2052,1244,2.9050917042167907
2026-01-01,-0.61949502525609024,3.7317744291481292,6.84405383304017,20.673316739171209,1,0,1848,0,567,935,1346,666,3.1122794038920407
2026-01-02,-0.90590806631379284,3.6712054528441058,6.4365028393744215,20.362956935427917,2,0,3083,0,737,1888,2405,1586,2.7652973865303139
2026-01-03,-1.9756709357135609,4.5611495397139032,7.14662814371425,20.441752595623967,30,0,4241,0,1816,3590,4190,3322,2.5854786040003463
2026-01-04,-2.0275164054950228,4.817605314836003,7.6076942241769867,20.730876985524215,93,0,4584,0,1837,3996,4500,3782,2.7900889093409842
2026-01-05,-1.9131644139667179,4.5912632199988677,7.26936202603102,20.771401827396446,11,0,6024,0,2774,6179,6862,5747,2.6780988060321529
2026-01-06,-1.3696145828076296,4.2321335924339039,7.0946526020601723,20.633577850194587,2,0,4460,0,2067,4447,5167,4084,2.8625190096262725
2026-01-07,-1.0832363976637589,3.9153086141176834,6.7473808305716059,20.640320918963113,2,0,3944,0,1707,3768,4395,3137,2.8320722164539238
2026-01-08,-1.1188023074007873,3.8542245948774463,6.589646882354109,20.580260186475346,4,0,4456,0,1620,3427,4007,2918,2.73542228747666
2026-01-09,-1.3871796831570868,4.0241992489863359,6.6612188148155882,20.89907759352522,2,0,4376,0,1525,3678,4382,3240,2.6370195658292497
2026-01-10,-1.3690434023957174,4.1595952770883686,6.9501471517810245,20.7782863346568,2,0,3226,0,1086,2522,2960,2138,2.7905518746926528
2026-01-11,-1.1703320486600808,4.0749966388600649,6.9796612290600448,20.94866058181751,0,0,2507,0,899,1908,2251,1612,2.9046645901999826
2026-01-12,-0.88742890975073851,3.758879659637008,6.6303304095232782,20.622740632545927,0,0,3307,0,1184,3188,3785,2828,2.8714507498862716
2026-01-13,-0.9810903581590924,3.8724831891361831,6.7638760201132726,20.857189442358621,2,0,4055,0,1165,3069,3630,2638,2.89139283097709
2026-01-14,-1.0743545776544912,3.9831081181846386,6.8918616587147872,20.893733320268858,1,0,3430,0,939,2543,2956,2099,2.9087535405301468
