Date,AvgSentiment,Polarity,ActivityDensity,WordDensity,Theme_Cartel,Theme_Russia,Theme_Crisis,Theme_Energy,Theme_Military,Theme_Politics,Theme_Leader,Theme_President,NegativeTone
20251001,-1.1814698105954131,7.0418118893568211,19.612131055576651,0.61368901703482992,4,184,1822,181,615,1319,1498,1142,4.1116408499761175
20251002,-2.2450237489482614,7.3551943130798829,19.985835761704411,0.63277682431701532,4,223,2323,200,754,1726,1946,1490,4.8001090310140713
20251003,-3.43236612633202,7.791547846260741,20.482945529030292,0.924243867439621,6,214,3018,178,1082,2419,2618,2185,5.6119569862963772
20251004,-2.6664296274916879,7.8381865300710523,20.6083807913303,0.62064779310086193,20,189,1706,159,660,1212,1404,1024,5.2523080787813736
20251005,-1.623878027624555,7.287916506905491,20.151299425215694,0.68518300164795587,4,224,1161,117,396,762,948,653,4.4558972672650237
20251006,-2.0804894870816222,7.4442828576383233,20.438964203531533,0.81238795383280982,1,241,1759,155,691,1292,1480,1103,4.7623861723599736
20251007,-1.800049258850926,7.2259962530664161,20.424980322041964,0.70911494488513793,2,208,1971,255,639,1574,1730,1407,4.5130227559586693
20251008,-1.3664398859635336,7.1169997147485189,20.19949651448497,0.5606317664133329,6,207,1823,158,650,1297,1513,1113,4.2417198003560257
20251009,-1.7254804565198034,6.9907958879463656,20.37622145482025,0.65520324005240493,8,142,2142,274,741,1596,1774,1373,4.358138172233085
20251010,2.0618872754351956,10.949948644250094,21.478912228124255,0.66876414076199686,3,1170,5967,421,997,7507,7698,6034,4.4440306844074522
20251011,0.791579543138297,9.7167197022108986,21.28656581666624,0.76733189269102131,1,480,2712,253,678,2734,2866,2309,4.4625700795362988
20251012,-0.25854241557466245,8.399444079488088,20.758979345302556,0.606742612289078,11,165,1570,146,505,1416,1541,1150,4.3289932475313728
20251013,-0.010161571367558443,8.8554297950651826,20.839962370845431,0.63441952836546711,4,339,2202,264,598,2067,2293,1691,4.4327956832163693
20251014,-1.9289226721771846,8.3991143413964533,20.607814146105166,0.712815979524837,2,377,3352,252,933,3030,3155,2499,5.1640185067868183
20251015,-1.9163350847642642,7.6872518195893376,20.406237459307711,0.670867056100028,3,274,2723,292,986,2305,2633,2003,4.8017934521768018
20251016,-2.2740849484705028,7.58177864420737,20.521120039828816,0.88859727855136494,3,489,4120,707,1247,4013,4286,3654,4.9279317963389353
20251017,-2.47214912798453,7.3796032367366964,20.568028889659228,0.85028183031417548,3,473,4161,599,2092,3749,4034,3362,4.9258761823606143
20251018,-1.8836145288137378,7.7601527629249443,20.490520133758761,0.80470910251874472,1,266,2306,446,995,1983,2194,1747,4.8218836458693408
20251019,-2.2058088303428183,7.8187695858520581,20.257580131022888,0.8251211426803241,10,161,2748,256,908,2060,2311,1907,5.01228920809744
20251020,-1.671275089607126,7.6452300000867632,20.1586165804514,0.65737060448942,13,177,2344,269,890,1954,2113,1671,4.6582525448469436
20251021,-1.7165132681697628,7.53507107938225,20.196563944741353,0.61222342572845367,8,267,2414,242,826,1954,2209,1764,4.6257921737760066
20251022,-2.5706140431382591,7.64949796820108,20.150618517003561,0.55124210554488351,5,271,3031,250,1323,1793,2016,1605,5.1100560056696658
20251023,-2.4557305835555994,7.2193252172306215,20.597602485838419,0.82430807602014589,2,660,3025,348,1124,2486,2643,2196,4.8375279003931091
20251024,-3.107884000474824,7.62245527823743,20.9302437771214,1.1472348168446158,8,661,4360,412,2061,3768,4033,3471,5.365169639356127
20251025,-3.0357781687898209,7.9727355431884268,20.477488489991419,0.96151257982726934,1,375,2703,224,1178,2390,2561,2092,5.5042568559891274
20251026,-2.1799413771080682,7.4204181309416271,20.154009272216417,0.82399747415210289,2,222,2200,200,682,1749,2025,1600,4.8001797540248479
20251027,-2.0901364277794769,7.33854704513273,20.026418362364812,0.7619884046555272,1,416,3081,355,1013,2561,2846,2239,4.7143417364561016
20251028,-2.2062008015164221,7.4402319763429281,20.236884781745189,0.737816985716973,1,470,3407,405,1269,2692,3049,2436,4.8232163889296755
20251029,-2.4841779731428892,7.6026196535554833,20.190242880093816,0.73018690901831418,1,359,3451,348,1115,2600,2970,2337,5.04339881334919
20251030,-2.4352289447583333,7.6235390916159647,20.33436685340752,0.66298169408120811,1,291,2742,220,791,2174,2372,1901,5.0293840181871508
20251031,-2.478293123780158,7.3246985823399315,20.355366801400077,0.7849958658119337,8,587,3006,277,1286,2558,2801,2288,4.9014958530600454
20251101,-2.4883671340244078,7.3874542223057986,20.486913295123809,0.91545756961883262,4,638,2230,311,1165,1969,2196,1838,4.9379106781651068
20251102,-2.1745239538221055,7.4829936747302517,20.224121405742189,0.833300372414185,1,617,2055,232,846,1879,2054,1669,4.8287588142761795
20251103,-2.4855361573722941,7.2977031750791665,20.38501801724426,0.8174460847142927,17,701,3916,532,1135,3496,3816,3155,4.8916196662257292
20251104,-1.6053381860816693,7.2178023548019041,20.042336268782321,0.63824977192037191,1,475,2737,352,812,2629,2864,2310,4.4115702704417874
20251105,-1.8232311223635906,7.1640340275972543,20.181018111652516,0.74197538998028834,2,410,2916,490,1010,2716,2904,2361,4.4936325749804231
20251106,-1.585998860312112,7.2572089612745,20.095451388312004,0.67486281851309537,4,340,2478,304,706,2181,2402,1868,4.4216039107933058
20251107,-2.2169162609129516,7.5531708585177109,20.121881754542652,0.67250950634571349,4,405,2869,259,1011,2251,2591,1948,4.8850435597153332
20251108,-1.1328572512994313,7.3874776600484617,19.897048590330623,0.57265995511090728,3,210,1597,149,460,1299,1444,1105,4.2601674556739484
20251109,-1.4886763523000575,7.301358259758115,19.985628527219419,0.59882240200090109,1,134,1373,138,293,1112,1348,966,4.3950173060290858
20251110,-2.0782710883647888,7.4659325937478931,19.883455952360752,0.57484405740728528,2,196,2047,171,554,1574,1767,1319,4.7721018410563412
20251111,-1.7566450781558487,6.9743153270186387,19.477781798508346,0.65353855907281244,2,468,2394,258,1064,2124,2303,1843,4.36548020258724
20251112,-2.4435293788847043,7.2725960077339966,19.671712338913387,0.84700909242676781,12,683,3191,384,1541,2726,2961,2468,4.8580626933093507
20251113,-2.0694959514862439,7.3770934906132881,20.068890140820663,0.77559208308379346,1,467,2271,293,963,1812,2007,1559,4.7232947210497649
20251114,-2.1038278915922985,7.2690629007466283,20.303867606322274,0.99170199757350008,0,539,2913,302,1341,2467,2619,2185,4.6864453961694643
20251115,-2.2325083757206716,7.2121512416173319,20.603346323773021,0.93520852899312867,0,338,2348,238,1103,2045,2172,1805,4.7223298086690022
20251116,-2.0486095711138255,7.538247785044601,20.405865255154243,0.82048044821697863,1,201,2291,241,1148,1954,2181,1705,4.7934286780792128
20251117,-2.6328030190110492,7.2435424954187928,20.544272992749345,0.99709077619072273,55,379,3971,429,2261,3764,3997,3412,4.938172757214919
20251118,-2.0605893743984067,7.2064087562615189,20.81470414016179,0.85668662158825393,21,294,2830,502,1057,2540,2743,2231,4.6334990653299633
20251119,-1.4447966603163087,7.0249583531721322,20.287377142943708,0.60109447582307785,2,227,2025,348,644,1804,2002,1528,4.23487750674422
20251120,-1.5460166837281908,7.0140829306829575,20.222782313338886,0.536956968573715,9,267,1955,339,578,1591,1841,1384,4.2800498072055726
20251121,-0.76515813791399911,7.23655197141886,20.134996571007431,0.62056981258534138,7,365,2691,354,603,2224,2404,1940,4.0008550546664274
20251122,-1.7024581181081202,7.4456076230335126,19.980270807475222,0.58905769058826207,3,268,2020,164,541,1566,1659,1374,4.5740328705708162
20251123,-2.4553449674028887,7.0617802743706681,19.688512884160431,0.83483218277104732,1,387,2151,253,992,1802,1895,1642,4.7585626208867788
20251124,-2.5039693339985618,7.2773793099030311,19.477259955596814,0.64935934895288838,39,357,2808,338,1370,2398,2791,2321,4.8906743219507973
20251125,-2.1956747969478991,7.2702628065875876,19.84668160559848,0.68777428420250752,10,618,2942,371,1300,2549,2802,2297,4.7329688017677407
20251126,-2.1992636125222638,7.4272222185884553,20.310163209559111,0.65712828543267854,6,519,2925,450,1036,2228,2440,1963,4.8132429155553593
20251127,-1.7276826897078794,7.2548590660349781,19.52093368099121,0.66314947226938292,0,338,2563,255,867,2011,2385,1830,4.49127087787143
20251128,-2.4221027680476523,7.1234103955293033,20.2340972651819,0.96282962694392293,0,294,3314,365,1616,2873,3087,2562,4.7727565817884772
20251129,-3.2535300139519947,7.3667838139405752,20.242327618469087,0.93287417060241551,0,255,3878,445,1886,3890,4113,3691,5.3101569139462814
20251130,-3.2673060721358147,7.6886631569112822,20.452502271487489,0.8046477813186742,1,506,2968,494,1258,2805,3022,2572,5.47798461452355
20251201,-2.6424760690205131,7.2848535015902343,21.116279735311352,0.76478087107746873,4,1125,4399,1164,2299,4508,4788,4163,4.9636647853053706
20251202,-2.8342023041090894,7.5393601050659527,21.552384884436847,0.92520599556313254,1,809,5112,931,2487,5092,5321,4655,5.1867812045875219
20251203,-3.0308620294480519,7.5670877002939765,20.696335176007281,0.81066871118492623,7,453,4819,514,2030,3865,4198,3443,5.2989748648710133
20251204,-2.1277058349758966,7.4188343128737424,20.945732573631648,0.69290362934826721,4,386,3711,531,1373,3455,3709,3079,4.7732700739248175
20251205,-1.7687166161112309,7.743399033354974,20.837020314326917,0.75678340050923376,2,644,3341,558,1147,2811,3287,2463,4.7560578247331033
20251206,-1.6579811036587797,7.9171650920138621,20.577658091937533,0.782089069191043,2,307,2271,234,714,1913,2196,1677,4.7875730978363205
20251207,-2.2295297130732705,8.2485223944048531,20.787722129984875,0.76723519407187268,1,349,2120,335,785,1807,2045,1576,5.239026053739062
20251208,-1.8160176258223764,7.873535480975181,20.377925939425861,0.67896647062494342,1,434,1929,362,662,1628,1852,1406,4.8447765533987779
20251209,-1.5967349226472638,7.9336167917424687,20.736609819301833,0.63373439120448383,5,609,3084,260,1077,2936,3219,2631,4.7651758571948655
20251210,-0.69542848071518326,8.53774118344552,20.727544801686395,0.77390023770872018,2,543,4964,1484,1650,5141,5674,4641,4.6165848320803518
20251211,-1.7304617600998582,8.1655665269057316,20.4456809765316,0.855712050853469,61,1861,6802,4058,2491,6866,7560,6227,4.9480141435027951
20251212,-2.3156447634026267,7.8720652655912673,20.397138547817711,0.79647584270092808,8,1185,4303,2874,1406,4336,4844,3814,5.0938550144969472
